id,path,round,kind,family,outcome,failure_class,rh_relevance,draft,score
verification/v917_driver_rate_certification.py,verification/v917_driver_rate_certification.py,ledger:PRIME.KR4.DRIVER.CERT.01,FORMALIZATION,WEIL_POSITIVITY_WINDOWS,PROVED,NOT_APPLICABLE,FINITE_FRAGMENT,false,2.75
verification/v916_epstein_weil_violation.py,verification/v916_epstein_weil_violation.py,ledger:PRIME.KR4.EPSTEIN.COLLAPSE.01,FOUNDATION,SCREW_SUBORDINATION_LSTAR,CERTIFIED,NOT_APPLICABLE,IDENTITY_SIDE,false,2.2
verification/v894_diagonal_refinement.py,verification/v894_diagonal_refinement.py,r26 contract,REDUCTION,EXPLICIT_FORMULA_IDENTITY,OPEN,LOSSY_CONSTANT,LOAD_BEARING_OPEN,false,1.3886
experiments/tfpt-discovery/bughunt2_r86_r105_probe.py,experiments/tfpt-discovery/bughunt2_r86_r105_probe.py,r100-r105,ATTACK,LEAN_FORMALIZATION,OPEN,NOT_APPLICABLE,INFRASTRUCTURE,true,0.9828
experiments/tfpt-discovery/semilocal_realroot_limit_probe.py,experiments/tfpt-discovery/semilocal_realroot_limit_probe.py,r100-r200,ATTACK,WEIL_POSITIVITY_WINDOWS,MEASURED,NOT_APPLICABLE,FINITE_FRAGMENT,true,1.1232
experiments/tfpt-discovery/idgraph_search_probe.py,experiments/tfpt-discovery/idgraph_search_probe.py,r101-r115,ATTACK,CERTIFICATE_INFRASTRUCTURE,MEASURED,NOT_APPLICABLE,INFRASTRUCTURE,true,1.1232
experiments/tfpt-discovery/bughunt6_probe.py,experiments/tfpt-discovery/bughunt6_probe.py,r109-r169,ATTACK,SIEVE_FACTORING_GEOMETRY,MEASURED,NOT_APPLICABLE,UNRELATED,true,1.1232
experiments/tfpt-discovery/bughunt7_probe.py,experiments/tfpt-discovery/bughunt7_probe.py,r109-r175,ATTACK,WEIL_POSITIVITY_WINDOWS,MEASURED,NOT_APPLICABLE,FINITE_FRAGMENT,true,1.1232
experiments/tfpt-discovery/bughunt8_probe.py,experiments/tfpt-discovery/bughunt8_probe.py,r109-r182,ATTACK,WEIL_POSITIVITY_WINDOWS,MEASURED,NOT_APPLICABLE,FINITE_FRAGMENT,true,1.1232
experiments/tfpt-discovery/bughunt9_probe.py,experiments/tfpt-discovery/bughunt9_probe.py,r109-r191,ATTACK,OPERATOR_SPECTRAL,OPEN,NOT_APPLICABLE,FINITE_FRAGMENT,true,0.9828
